"Date","Region","New_Tests","Total_Tests","Positivity","Turn_Around"
2020-04-11,"Northern",50,2237,4,46
2020-04-11,"Unknown",7,464,0,24
2020-04-11,"Vancouver Coastal",183,16667,2.73,21
2020-04-11,"Vancouver Island",187,7877,2.14,21
2020-04-12,"BC",844,56641,4.98,25
2020-04-12,"Fraser",293,20885,6.48,30
2020-04-12,"Interior",151,8111,11.26,25
2020-04-12,"Northern",6,2243,0,40
2020-04-12,"Unknown",6,470,0,28
2020-04-12,"Vancouver Coastal",243,16910,1.23,22
2020-04-12,"Vancouver Island",145,8022,2.07,22
2020-04-13,"BC",856,57497,5.02,34
2020-04-13,"Fraser",303,21188,4.29,39
2020-04-13,"Interior",100,8211,10,31
2020-04-13,"Northern",90,2333,2.22,67
2020-04-13,"Unknown",9,479,0,19
2020-04-13,"Vancouver Coastal",240,17150,5.83,22
2020-04-13,"Vancouver Island",114,8136,3.51,24
2020-04-14,"BC",748,58245,7.49,28
2020-04-14,"Fraser",239,21427,9.21,30
2020-04-14,"Interior",130,8341,5.38,34
2020-04-14,"Northern",49,2382,2.04,70
2020-04-14,"Unknown",9,488,0,32
2020-04-14,"Vancouver Coastal",196,17346,11.22,16
2020-04-14,"Vancouver Island",125,8261,3.2,21
2020-04-15,"BC",1349,59594,4.52,26
2020-04-15,"Fraser",558,21985,7.89,32
2020-04-15,"Interior",166,8507,2.41,20
2020-04-15,"Northern",42,2424,4.76,46
2020-04-15,"Unknown",22,510,0,25
2020-04-15,"Vancouver Coastal",353,17699,1.98,20
2020-04-15,"Vancouver Island",208,8469,1.92,20
2020-04-16,"BC",1486,61080,4.1,25
2020-04-16,"Fraser",569,22554,5.98,29
2020-04-16,"Interior",193,8700,2.07,27
2020-04-16,"Northern",82,2506,1.22,44
2020-04-16,"Unknown",43,553,0,20
2020-04-16,"Vancouver Coastal",381,18080,4.99,19
2020-04-16,"Vancouver Island",218,8687,0.92,17
2020-04-17,"BC",1338,62418,2.54,23
2020-04-17,"Fraser",476,23030,3.57,27
2020-04-17,"Interior",171,8871,1.75,23
2020-04-17,"Northern",33,2539,6.06,44
2020-04-17,"Unknown",9,562,0,21
2020-04-17,"Vancouver Coastal",415,18495,2.17,19
2020-04-17,"Vancouver Island",234,8921,1.28,19
2020-04-18,"BC",1270,63688,3.15,26
2020-04-18,"Fraser",401,23431,2.74,31
2020-04-18,"Interior",137,9008,0.73,21
2020-04-18,"Northern",74,2613,6.76,45
2020-04-18,"Unknown",11,573,0,35
2020-04-18,"Vancouver Coastal",444,18939,3.6,21
2020-04-18,"Vancouver Island",203,9124,2.46,23
2020-04-19,"BC",990,64678,3.64,27
2020-04-19,"Fraser",388,23819,6.19,31
2020-04-19,"Interior",140,9148,0.71,23
2020-04-19,"Northern",12,2625,8.33,46
